date,spread_return,test_year,selected_horizon,selected_direction
2018-02-05,0.001470169858421709,2018,10,reversal
2018-02-06,-0.001917380793669765,2018,10,reversal
2018-02-07,0.014484778244370777,2018,10,reversal
2018-02-08,-0.009380134297880205,2018,10,reversal
2018-02-09,-0.0036356790067248908,2018,10,reversal
2018-02-12,-0.009593844577302857,2018,10,reversal
2018-02-13,-0.016759803660523508,2018,10,reversal
2018-02-14,-0.00588944667763297,2018,10,reversal
2018-02-15,0.00487017498805582,2018,10,reversal
2018-02-16,-0.012402640692247502,2018,10,reversal
2018-02-20,0.0020899822572040486,2018,10,reversal
2018-02-21,0.011965744046698791,2018,10,reversal
2018-02-22,-0.010773174353088255,2018,10,reversal
2018-02-23,-0.0016803395410348344,2018,10,reversal
2018-02-26,-0.0006352033182645545,2018,10,reversal
2018-02-27,-0.018542340537986667,2018,10,reversal
2018-02-28,0.005538991412711093,2018,10,reversal
2018-03-01,-0.019842199326708845,2018,10,reversal
2018-03-02,0.0018287784660939287,2018,10,reversal
2018-03-05,-0.008012391083966619,2018,10,reversal
2018-03-06,-0.0033244970759580108,2018,10,reversal
2018-03-07,0.003381225439608915,2018,10,reversal
2018-03-08,-0.004538512454765331,2018,10,reversal
2018-03-09,-0.0009954889884964731,2018,10,reversal
2018-03-12,0.004115224823770214,2018,10,reversal
2018-03-13,-0.006340447655435033,2018,10,reversal
2018-03-14,0.0011676735876776424,2018,10,reversal
2018-03-15,0.012347613839717286,2018,10,reversal
2018-03-16,0.0015423233280031819,2018,10,reversal
2018-03-19,-0.0013466955793971058,2018,10,reversal
2018-03-20,0.006932938814506029,2018,10,reversal
2018-03-21,0.006279523613915629,2018,10,reversal
2018-03-22,-0.0008953998534768082,2018,10,reversal
2018-03-23,-0.007499281879766881,2018,10,reversal
2018-03-26,0.014817450091225752,2018,10,reversal
2018-03-27,0.001954222036287423,2018,10,reversal
2018-03-28,0.006364204405246399,2018,10,reversal
2018-03-29,-0.00011853417670042513,2018,10,reversal
2018-04-02,-0.0052000465113902,2018,10,reversal
2018-04-03,0.005315482104861713,2018,10,reversal
2018-04-04,0.006469401299005218,2018,10,reversal
2018-04-05,-0.014729846373798393,2018,10,reversal
2018-04-06,0.0060301039162228955,2018,10,reversal
2018-04-09,0.019370449130168055,2018,10,reversal
2018-04-10,0.0008040367430952708,2018,10,reversal
2018-04-11,0.009800604990436102,2018,10,reversal
2018-04-12,0.006877479988848978,2018,10,reversal
2018-04-13,0.002951441445660196,2018,10,reversal
2018-04-16,-0.003097637537180741,2018,10,reversal
2018-04-17,0.005056524042661881,2018,10,reversal
2018-04-18,0.004623967315555244,2018,10,reversal
2018-04-19,9.411553378262279e-05,2018,10,reversal
2018-04-20,-0.003121851761219851,2018,10,reversal
2018-04-23,0.007341068835555832,2018,10,reversal
2018-04-24,-2.9131511235496593e-07,2018,10,reversal
2018-04-25,-0.000362450217694342,2018,10,reversal
2018-04-26,-0.00035005082180629145,2018,10,reversal
2018-04-27,0.01306002941635892,2018,10,reversal
2018-04-30,-0.012582806011326796,2018,10,reversal
2018-05-01,-0.0028006273916667437,2018,10,reversal
2018-05-02,0.0026119480697249457,2018,10,reversal
2018-05-03,0.0003740942863733176,2018,10,reversal
2018-05-04,-0.001154352393447345,2018,10,reversal
2018-05-07,-0.007668139784809159,2018,10,reversal
2018-05-08,-0.005947424054062544,2018,10,reversal
2018-05-09,0.0015792270664168225,2018,10,reversal
2018-05-10,0.014507430768924657,2018,10,reversal
2018-05-11,0.0033318769792515914,2018,10,reversal
